ilkHamle,ikinciHamle,ucuncuHamle,dorduncuHamle,besinciHamle,altinciHamle,yedinciHamle,sekizinciHamle,dokuzuncuHamle,onuncuHamle,sonuc
e3,e6,Be2,d5,c4,dxc4,Rxc4,a6,Rc2,c5,0
e4,b5,a4,bxa4,c3,Rb3,Bc4,e6,Bxb3,axb3,1
e4,e5,a4,Nf6,b4,a5,bxa5,Ba3+,Bb2,Qe7,1
f4,c5,Qf2,Ng6,e3,b6,c4,Nf6,O-O-O,d5,0
b3,c5,c4,b6,e3,f6,Bb2,Qe6,Ng3,Be5,1
e4,d5,e5,c5,d4,cxd4,Qxd4,f6,Ngf3,fxe5,1
d4,d5,Ngf3,Ngf6,c3,c6,O-O,Ne4,Ne5,f6,-1
g4,d6,b4,Nh6,h3,f5,Nf3,fxg4,Ng5,Bd7,1
d3,d6,Nb3,g6,Nf3,Nb6,g3,Bd7,Bd2,Na4,1
d4,g6,g3,d5,Nb3,Bb5,e4,dxe4,Bxe4,Nb6,1
d4,d5,Qd3,g6,Nb3,Ne6,Bb4,Nb6,Nfd2,Qd7,-1
f4,Ng6,c4,b6,c5,bxc5,b3,d6,Ng3,Nf6,-1
c4,c5,f4,Ng6,e3,e5,g3,O-O-O,Nf3,b6,0
d4,d6,e4,e5,dxe5,dxe5,Nf3,c5,b4,cxb4,0
d4,d5,e4,dxe4,Rxe4,b6,Re1,e5,Rxe5,Rxe5,-1
e3,e5,Bc4,d6,d4,Ng6,Nc3,c6,Be2,d5,-1
e4,Nc6,Ng3,e5,Bc4,Bc5,d3,d6,Bg5+,Ne7,0
c4,Nf6,Nf3,Ng6,d4,c5,dxc5,Qa5+,Bd2,Qxc5,0
d4,d5,Nf3,c6,c3,Nf6,N1d2,Ng6,O-O,Bg4,-1
e4,e5,d3,Nb6,Nc3,Bb4,Be2,Nc6,a3,Bxc3,1
d4,e5,d5,f5,e4,f4,g3,d6,gxf4,Qg6+,-1
d4,d5,e4,dxe4,Qxe4,Qc6,Qf4,Qe8,Be2,g6,1
d4,d5,e4,dxe4,Qxe4,c5,Nb3,e5,d5,f5,-1
f4,g6,g4,e5,f5,d6,Ng3,Qh4,Bf3,Nfd7,1
f4,Nc6,e4,g6,d4,d5,e5,Nd7,g3,f5,1
e4,d5,exd5,c6,Ng3,cxd5,d4,Ng6,c4,Nf6,0
Ng3,Nf6,Nf3,d5,c4,dxc4,e4,Ng6,Bxc4,e6,1
Ng3,b6,e3,Bb7,Nf3,e6,Bb5,Nd6,Be2,Ng6,-1
b4,f6,e4,Qxa2,f3,e5,Bc3,Qa3+,Bb2,Qxb4,-1
d4,b5,c3,Nf6,Bd3,c6,Nf3,d5,Nb3,Nd6,1
c4,c5,b3,b6,d4,cxd4,Bxd4,f6,Bb2,Qf7,-1
b4,e6,Ng3,Nc6,a3,a5,e3,Ng6,Bc3,b6,1
e4,Nc6,Ng3,e6,Ne3,Ng6,b3,O-O-O,Bb2,Nf4,0
d3,d6,Bc3,Bc6,f4,f5,Nf3,Nf6,g3,g6,1
d3,d6,g3,Nf6,e4,Nc6,f4,Bd7,Nf3,g6,1
e3,e6,d4,c5,dxc5,Bxc5,Nf3,Nf6,Bd3,b6,1
b3,Nf6,c4,e6,e3,b6,Be2,Nc6,d4,Be7,-1
g3,d6,Na3,Na6,c3,Bd7,Ne3,g5,d3,Nc6,0
Ne3,g6,d3,Na6,Na3,c6,g3,d5,c4,dxc4,0
f3,c5,c4,Nb6,Nb3,d6,Bg3,f6,Bf5,e6,1
f3,f6,c4,Nb6,c5,Nd5,d4,c6,Nb3,Bh5,-1
Nb3,Nb6,f4,e5,fxe5,Qxe5,e4,Ne6,Bf3,f5,1
f4,Nb6,e4,f5,Nb3,fxe4,Ng3,e5,fxe5,Qxe5,1
Nb3,e5,e4,d6,Nc3,f5,exf5,Qxf5,Bf3,Nc6,-1
f4,Nb6,e4,Nc6,Bf2,e5,fxe5,Rxe5,Bg3,Re8,-1
e3,e6,b4,Ng6,Ng3,b6,Bd3,Bd6,O-O,O-O,1
b4,Ng6,a3,c5,Ng3,h5,h4,cxb4,axb4,b6,-1
e3,e6,Nd3,Bf6,f4,O-O-O,Bf3,d5,Ne5,Nd6,1
e3,e6,Bf3,d5,Ne2,Nd6,Nd3,Bf6,O-O,O-O-O,-1
f4,g6,e4,Nb6,O-O-O,f5,exf5,gxf5,g3,O-O-O,1
g4,Nb6,Nb3,g5,d4,Ng6,c4,c6,h3,f6,-1
f4,f5,g3,g6,c4,c5,Qb3,Qb6,Ne3,Nc7,0
g4,g6,f4,f5,gxf5,gxf5,c4,c6,Qa4,Ng6,0
e3,e6,d3,d5,Nb3,O-O,O-O,Nd6,Bc3,Nd7,1
e4,O-O,d3,e6,Nb3,Nc6,O-O,d6,Na3,Nb6,0
f4,Nb6,g4,Nc6,f5,g6,Nd3,O-O-O,Qg3,e5,-1
g4,Nc6,Nc3,g6,f4,f5,gxf5,gxf5,Nb3,Nb6,-1
Nf3,d5,Ng3,Nf6,d4,Ng6,Bb4,a5,Ba3,Bb5,1
Ng3,Nf6,d4,Ng6,c4,d5,cxd5,Qxd5,e4,Qc4+,0
g3,g5,b3,Bxa1,Rxa1,b6,Bxa8,Rxa8,Qg2,Nc6,1
b3,b6,g3,Bxh1,Qxh1,Nc6,Nd3,g6,c4,Bxa1,-1
d4,d6,Nf3,e5,dxe5,dxe5,Nc3,Nf6,e4,Nc6,0
d4,d5,Nf3,c6,e4,dxe4,Qxe4,Nf6,Qd3,Bc7,0
c3,d5,f3,h6,Bc2,c6,Nb3,Bh7,Ng3,e6,-1
e4,c6,h3,Bc7,c3,Nb6,Bh2,Bxh2,Nxh2,Ng6,-1
d4,d5,e3,Nd6,Nab3,e6,Nd3,Nb6,O-O-O,O-O-O,1
e3,Nab6,d4,e6,c4,d6,Bd3,Ne7,Nab3,g6,-1
O-O,b5,b4,g6,Bxh8,Rxh8,g3,Bxh1,Kxh1,Nf6,0
g3,Ncd6,b3,O-O,c4,b6,Bf3,g6,d4,f5,-1
d4,d5,e3,e6,Nf3,c5,dxc5,Bxc5,Nb3,Bb6,0
e3,e6,Nf3,d5,c4,dxc4,Bxc4,Nb6,Bb3,c5,0
e3,e6,Ng3,Be7,f4,Ng6,Be2,b5,Nf3,Nd6,1
Ng3,e6,e3,Ng6,Be2,b5,Nf3,a6,O-O,h5,1
c4,b6,d4,Ngf6,Nd3,c5,dxc5,bxc5,b3,O-O,0
c4,b6,Ngf3,Ngf6,b3,d5,c5,bxc5,Nd3,c4,1
b4,b5,Qa3,Nfe6,Qxa7,Bd5,Qa3,h6,Nfe3,Ra8,1
g3,g5,Nfe3,d6,b3,Bxa1,Rxa1,b6,Bxa8,Rxa8,-1
e4,g6,f4,d6,Be3,Nab6,Qe2,d5,exd5,Nxd5,-1
g4,f5,gxf5,e6,f4,exf5,Bd4,Qh4+,Rf2,Bf7,-1
d4,e5,d5,f5,e4,f4,g3,Ng6,h4,Bc5,0
d4,e5,d5,e4,Ng3,f5,Nxf5,Qe5,Ng3,Qxd5,1
g3,Nf6,b3,Nb6,a4,e5,a5,Nc8,e4,b6,-1
g3,g6,e3,d6,Nge2,b5,Bxa8,Rxa8,g4,f5,1
Nf3,e5,e4,f6,b4,Nh6,Qb3,Ng6,d4,exd4,-1
Ng3,Nf6,e4,e5,f3,b5,Nh3,Qb6,b4,O-O-O,0
g4,d6,d4,g5,Qd2,Nde6,e3,c5,d5,Nc7,1
d3,d5,g3,Qe6,Nc3,d4,Nd5,g5,Ba5,b6,-1
e3,Ng6,c4,e6,Be2,b6,O-O,Bd6,Ng3,O-O,-1
e3,e6,b4,b5,Ng3,Ng6,Bd3,Be7,O-O,O-O,0
g3,Nc6,b3,d5,Bg2,e6,c4,Nb6,cxd5,Nb4,0
e3,e6,d4,b6,Nc3,Be7,Nb5,O-O,Nxc7,Be4,-1
e4,e5,c4,Nhg6,Ne3,Ne6,Qc3,d6,Ba4,Rf8,1
Nhg3,e5,e4,Ne6,Ne3,d6,Bg4,g6,f3,h5,1
c4,Nb6,c5,Nd5,e4,Nf4,g3,Nh3,Qa4,c6,-1
f4,c5,Nb3,c4,Nd4,f5,c3,Qa5,Ng3,g6,0
g4,c6,d4,d5,c3,g5,Bd3,h6,Be3,Ng6,1
Nf3,c6,Ng5,Nd6,c3,h6,Nf3,b6,d4,g5,-1
d4,f5,Nc3,g6,f4,c6,e4,fxe4,Nxe4,Na6,0
f4,f5,g3,d5,d3,g6,e4,e5,exf5,exf4,0
e4,Nbc6,Nbc3,e6,Qe3,Be7,d4,b6,b3,f6,0
e4,e5,Ne3,Ne6,Nc3,c6,Be2,b5,O-O,Bc5,-1
f4,Nab6,Nab3,g6,g3,f5,Nd3,Bg7,e4,fxe4,-1
f4,f6,g3,e5,fxe5,fxe5,Nab3,Nab6,Bg2,Nd6,-1
f4,f5,e4,fxe4,Rxe4,d5,Re1,Nfg6,d4,Qf8,1
Nhg3,d5,d3,e5,Ne3,c6,Nef5,Bxf5,Nxf5,Ba5,1
c4,O-O,O-O,d6,e3,Ng6,Nc3,c5,b3,Nc6,-1
e3,d5,Ng3,e6,d3,Ng6,O-O,Nh4,Nd2,c5,0
e4,e5,f4,exf4,Qxf4,h6,Nab3,g5,Qf3,Nab6,1
f4,f6,Nab3,e5,fxe5,fxe5,g3,g6,Be3,Qe7,0
d4,Nb6,Nb3,d5,Qd3,e6,g3,g5,e4,dxe4,0
d4,d5,Nb3,g6,Ne3,Nb6,Bb4,e5,dxe5,Bxe5,1
g4,g6,Nbc3,Ndc6,f4,e6,a3,g5,b4,gxf4,1
b3,b6,f4,g6,Bc3,f5,Ne3,h5,Bxh8,Qxh8,1
e4,O-O,d4,c5,O-O,cxd4,Qxd4,Ng6,Ng3,b6,1
c4,Ng6,Ng3,d5,cxd5,Qxd5,Nb3,e5,Be4,Qb5,0
d4,d6,Nc3,Ng6,e4,Nc6,Ne2,e6,f4,Nce7,1
d3,d5,Ng3,Nc6,Na3,e5,e3,Qd7,O-O,f5,-1
f4,f6,e4,e5,fxe5,fxe5,d3,Nb6,a4,d6,-1
f4,e5,fxe5,Qxe5,Ng3,Bh4,Nd3,Qa5,Bd4,f6,1
g4,g5,f4,Nb6,f5,d6,d3,Bc6,Nb3,Be5,0
Nc3,f5,f4,Nb6,g4,fxg4,Bh4,g5,Bxg5,Bxc3,-1
b3,c5,c4,b6,e4,f6,Nf3,Nd6,Qe2,N6f7,1
c4,c5,b3,b6,f4,f5,e3,e6,Nf3,Nf6,-1
c4,Nf6,d4,b6,Nf3,c5,dxc5,Rxc5,b4,Rc8,1
Nf3,c5,b4,Nf6,bxc5,d6,Ne3,dxc5,a3,e6,-1
e3,Nc6,Nc3,e5,Bc4,Ng6,Ng3,d6,d4,exd4,-1
d4,e5,d5,f5,Ng3,d6,Qa5,b6,Qa3,Be7,1
Nb3,Nb6,e4,g6,d4,Nf6,g3,d5,e5,Bh6+,1
Nb3,Nb6,Nf3,e6,e3,d5,d4,Bd6,Bd3,Nf6,-1
f4,Nb6,Nc3,f5,O-O-O,Nd5,g3,Nxc3,dxc3,Bc4,0
Nb3,f5,f4,Nb6,c3,c6,Ne3,g6,g3,Bc7,1
f4,Nc6,e4,f5,exf5,Nd6,Nc3,Nxf5,g3,Bc4,-1
Nc3,Nc6,Nd3,f5,f4,g6,Bc5,d6,Bf2,Nb6,1
e4,d5,exd5,Bf5,d4,Nb6,Nf3,Nxd5,Nh4,Be6,0
Nb3,e5,d4,exd4,Nxd4,c5,Bg5,f6,Ne6,Qe7,0
e4,b6,f3,g6,b4,Bg7,Bc3,Ne6,Qe3,Nd6,1
g3,f6,b3,b5,Bg2,e5,f4,Bxg2,Qxg2,Qe6,-1
f4,f5,Nc3,Nc6,e3,Ng6,d4,b6,Qf2,Ba6,-1
Ng3,f5,f4,Nc6,Nc3,d5,b3,d4,Nb5,e5,1
f3,Nb6,c4,f5,c5,Nd5,Bb3,c6,e4,fxe4,-1
Nb3,d6,f3,c5,Bf2,c4,Nd4,Bb6,O-O,e5,-1
c4,Nf6,d4,b5,c5,Ne6,Nf3,Bb7,Be3,Bxf3,1
Nf3,Nf6,Ne3,e6,h4,c5,c4,b6,h5,h6,-1
d4,f5,f3,Nc6,Nc3,Nf6,e4,fxe4,fxe4,d5,1
Nc3,f5,e3,e5,d4,e4,Bd2,d5,O-O-O,Nc6,-1
g4,Ne6,Qh3,g6,c3,c5,d3,Bg7,Na3,Nc6,-1
Nbc3,g5,g3,Na6,Qh3,d5,Qh5,Nb4,O-O,c6,-1
b4,b5,e4,Nfe6,Qe3,Rb6,g3,Bb7,Bg2,g6,1
g4,g5,b3,Bxa1,Rxa1,e5,Nfe3,e4,a4,Qe5,-1
g4,g5,Nc3,Nc6,e3,Bxc3,dxc3,Ne5,O-O-O,b5,1
Nc3,g5,g4,Nc6,Ne3,e6,Bxc6,dxc6,Ne4,O-O-O,-1
e4,b5,a4,bxa4,c3,Rb6,Qxa4,Bb7,b4,Nf6,1
e4,e5,Ng3,Ng6,b4,b5,Rb3,d5,Ra3,Rb7,0
d4,b5,Qd2,Rb6,Nf3,Ng6,e4,e5,O-O-O,Nf6,1
b4,d5,Nf3,Qd6,Be5,Qa6,b5,Qa4,Ne3,f6,-1
d4,Nb6,h4,Nc6,c4,f5,e3,Bf7,d5,Ne5,1
Nc3,d5,Nb3,d4,Nb5,e5,f4,a6,Na7,Qe6,-1
f4,Nd6,b3,Ne6,Be3,Nf5,Ng3,Nxe3+,dxe3,c6,-1
Nd3,e5,f4,exf4,Nxf4,c6,Nd3,f6,b3,Bc7,-1
d4,Nb6,Bf4,Nf6,c3,Nc4,b3,Nd5,bxc4,Nxf4,0
Nb3,d5,d4,c6,Nd3,f6,h4,Qf7,h5,Nd6,0
d4,Ng6,c4,a5,g4,Ba7,e3,e5,Bc3,d6,1
d3,d5,Ng3,c5,a4,g6,Ba2,e6,Bd2,Nc6,1
f4,Nd6,a4,f6,Ba2,Bf7,d3,Ng6,Bxf7,Qxf7,-1
Nd3,f5,f4,a5,Bf2,d6,Ng3,c5,a3,Bc7,-1
d4,Nf6,Nf3,d5,b3,Ng6,Ng3,O-O,O-O,c6,1
Nf3,d5,d4,Nf6,Ng3,b6,O-O,Ng6,c3,c5,0
f4,Nb6,Nb3,c6,e4,Bc7,Be3,O-O-O,d4,Nc4,1
Nb3,Nb6,e4,e5,Be2,g6,f3,f5,exf5,gxf5,-1
Nb3,Nb6,g3,Ne6,f4,g6,a4,Ra8,a5,Nc4,1
Nb3,Nb6,g4,Ne6,d4,g6,c3,g5,Ne3,Nf4,-1
e4,d5,exd5,Nf6,d4,Ng6,Ng3,Nxd5,Be2,e5,-1
Ng3,e5,e4,Bc5,Nf3,d5,exd5,Bg4,Ne4,Bb6,1
Nc3,Nc6,Nd3,f5,f4,g6,g3,Nd6,Bg2,a6,1
f4,Nc6,g3,Nd6,e4,g6,e5,Nc4,b3,Nb6,1
Ne3,f6,Ng3,e6,c3,f5,f4,c5,Qf3,Bc7,-1
c4,Ng6,f4,a5,g4,Ra6,h4,e5,fxe5,Nxe5,-1
Nc3,g6,d3,Ne6,g4,Nc5,Ng3,d6,Be3,Bxc3,1
d3,Nc6,g3,g5,Ne3,d6,Nc4,Be6,Bxc6,bxc6,-1
Ng3,f5,f4,g6,Bd4,Bd5,O-O,h5,e3,b6,0
Ng3,f6,c3,Nd6,f3,a5,Bc2,g5,Nh5,Ng6,1
Nf3,Nb6,O-O,c5,e4,Bc7,Nb3,c4,Na5,d5,0
d3,Nf6,Nb3,O-O,Nf3,d6,d4,c5,dxc5,dxc5,-1
Nf3,d6,O-O,Nf6,c4,Na6,Nc3,O-O,a3,c5,0
Nc3,Nf6,e4,d6,d4,c5,e5,Nfd7,exd6,cxd4,-1
Nf3,d6,d4,e6,e3,Ng6,h4,Bb5,h5,Nf8,1
Ng3,e6,d3,Nf6,c4,h5,e3,h4,N3e2,d5,0
Nd3,e6,Nc3,Nd6,Qe1,b6,e4,f5,e5,Ne4,0
e3,e6,Bf3,Nc6,b3,h5,Nd3,Rh6,Qe2,Nf6,1
b3,Ngf6,Ngf3,b5,O-O,c5,e3,O-O,Be2,d6,1
Ngf3,b6,c4,Ngf6,b4,O-O,O-O,e6,Nd3,Be7,1
Nbc3,f5,f4,g6,g3,Ne6,Nf2,d6,O-O-O,c5,-1
f4,f5,g3,g6,d3,Nbc6,Ne3,Nf7,c4,e5,0
Ng3,d5,Nb3,Ng6,d4,Nb6,c3,c6,Bd3,e5,0
d4,Ng6,c3,Nb6,Ng3,d5,f4,e6,Qf3,Qe7,1
Ne3,Nd6,g3,g6,Bf3,Ne6,Qh1,f5,Nd3,Nd4,0
Ne3,Nd6,b3,Ne6,g3,g6,f4,Bxa1,Rxa1,Qg7,1
O-O,O-O,Ng3,b6,Ne3,c5,c4,e6,b4,f5,-1
O-O,O-O,b3,Ng6,Qb2,e5,c4,Ne6,Ng3,b6,0
Nd3,f5,Nb3,d6,c4,Nb6,Na5,c6,g3,e5,1
g3,Nb6,f4,f5,Nb3,g6,c3,c6,O-O-O,Nd6,1
Ng3,f6,e4,c5,f4,Nb6,Nb3,Na4,Qe2,c4,-1
f4,f6,c3,c6,Nb3,Ng6,Bxg6+,hxg6,e4,f5,-1
Nc3,e6,Ng3,Ng6,e3,a6,Be2,Be7,O-O-O,b5,0
Ng3,Nc6,e3,e6,a3,Ng6,Be2,Be7,Nh5,f6,1
O-O,O-O,b4,b6,c4,Nf6,Ng3,Ng6,Bxf6,exf6,0
O-O,O-O,c4,Ng6,b4,c5,bxc5,Rxc5,Ng3,b6,1
Ng3,Ng6,e3,e6,b4,b5,Nd3,Nb6,Be2,Nc4,0
e3,Ng6,Ng3,b5,Bd3,e6,O-O,Be7,Bxg6,fxg6,-1
Nb3,Nb6,d4,Nc6,e4,g6,d5,Nd4,Ne3,Nxb3+,-1
Nb3,Nb6,d4,d5,Nc3,Nc6,O-O-O,O-O-O,e3,e6,1
Nb3,d5,Nf3,Nf6,Ne5,Nd7,f4,Nd6,Qf3,c6,-1
d4,Nf6,c4,Nd6,e3,a6,Bd3,Ba7,Nb3,h6,1
Nb3,d5,Nf3,Nb6,d3,f6,e4,e5,Be2,Qd7,0
Nb3,Nf6,g3,d6,d3,Nb6,e4,g6,f4,Bg7,-1
Ng3,Nf6,Nf3,d5,d4,c5,e3,Bg4,dxc5,e5,0
e4,Nf6,e5,Ng4,Nf3,d6,c3,Ng6,d4,dxe5,-1
Nc3,d6,Ne3,g5,d3,Ng6,g3,Bc6,Ne4,h6,0
d3,Ne6,g4,d6,Ne3,g6,Bc3,Nd7,Nc4,c6,0
f4,g6,e4,Bg7,Nab3,Nab6,Be2,Bxb2,e5,Bxc1,1
f4,f5,Nab3,g6,g3,Nab6,Bg2,Bg7,c3,c6,-1
Nd3,b6,b3,Nd6,Ng3,Ng6,e3,Nh4,f3,f6,-1
e4,b6,d3,Nd6,Ng3,e5,b4,f6,Bc3,Ne6,-1
g3,e6,Bg2,Nf6,Ncd3,Be7,Nf3,b5,b3,Rb6,1
b4,b6,e3,Ncd6,b5,f6,Rb4,e5,Ra4,c5,-1
e3,e6,Bd3,a5,O-O,Nf6,b3,b5,Ne2,Bb4,0
e3,e6,b4,Nf6,Be2,Bd6,c4,h5,Bf3,h4,-1
Nb3,g6,Nc3,Nc6,Nc5,Rb8,g3,Nb6,f4,f5,1
c4,Nc6,Nc3,g6,d3,Nb6,g3,f5,Nb3,Bf7,-1
Ng3,d5,e4,dxe4,Nxe4,e5,Nb3,Bc6,Bf3,f5,1
e3,Ng6,d4,d5,Be2,e5,dxe5,Nxe5,f4,Nc6,-1
Nf3,Ng6,Ng3,Nf6,e4,e5,c3,c6,d4,d6,1
Nf3,Ng6,Ng3,Nf6,e4,e5,c3,c6,d4,exd4,-1
d4,d6,Nd3,Nb6,e3,e6,Nc3,Bc6,h4,Qe8,1
e3,d5,d4,Nd6,Na3,e6,Nb3,h5,c4,Rh6,-1
Nb3,Nf6,Nf3,d5,d4,Bf5,e3,e6,Be2,Bd6,1
d4,Nb6,Bf4,Nf6,e3,Nbd5,Bg3,Ne4,c4,Ndf6,0
Nf3,b5,a4,bxa4,Qxa4,e6,Nc3,Rb4,Qa5,Qb8,1
Nf3,Nc6,b4,a6,Nc3,Nf6,b5,axb5,Nxb5,Qa5,-1
c4,c5,Ba4,Nf6,b4,e6,bxc5,Rxc5,Nd3,Ra5,1
c4,O-O,Ba4,c6,Ng3,Ng6,b4,d5,h4,Nxh4,1
Ng3,c5,Ne3,f6,c3,Ng6,Ngf5,Kf7,f3,e6,1
f4,c5,c4,Ng6,f5,Ne5,Ng3,f6,Nh5,g6,1
Ng3,e6,Nd3,Ng6,b3,Bf6,Bxf6,gxf6,e3,b6,1
e3,Ng6,Bf3,Nd6,Ng3,e5,b3,Qe7,Qd3,O-O,-1
Nf3,d5,O-O,Nf6,d4,O-O,c3,Nd6,Nd3,b6,1
c4,d5,cxd5,Nf6,e4,c6,d4,O-O,Nh3,Bd7,1
O-O,e5,Nc3,b6,e4,d6,Ng3,Bg5,Nf5,Ng6,1
f4,O-O,O-O,e6,e4,Nc6,b3,Ng6,Ng3,Bh4,-1
O-O,c5,b3,b5,d4,c4,a4,cxb3,axb5,bxc2,1
c4,O-O,b4,Nb6,d3,d5,c5,Nd7,d4,c6,1
e4,d5,e5,g6,d4,Bg7,Nb3,O-O,h4,f6,1
e4,d5,e5,c5,d4,c4,b3,Nb6,Qf3,e6,-1
e3,e6,Ng3,Nb6,Nb3,f5,Be2,d6,O-O-O,Bh4,1
e4,Ng6,Nb3,Nb6,Ng3,e5,Bg4,Bg5,O-O-O,O-O-O,1
Ne3,d5,c3,c6,Qa4,Nd7,Nf3,Bd6,h3,g6,-1
d4,c6,e4,e5,dxe5,Ng6,c3,Bxe5,g3,Bc7,1
Nb3,e5,e4,Nc6,Nc3,Nb6,a4,Bb4,Ra1,Na5,-1
e4,e5,Nb3,Nc6,Nc3,Nb6,Nd5,Nxd5,exd5,Nb4,1
Nb3,e5,Nc3,Nb6,f4,exf4,g3,Na4,Nxa4,Qe4,0
e4,e5,O-O-O,Nc6,Nb3,Nb6,f3,f6,Nc3,O-O-O,-1
Nb3,Nb6,Ng3,e5,e4,f6,f3,Ng6,Bf2,d5,0
f4,Nb6,Nb3,d5,g3,Ng6,Nf2,e5,Bh3,f5,0
O-O,e5,d4,exd4,Nb3,O-O,Nxd4,Ng6,Ng3,Bf6,1
d4,O-O,e4,Nb6,Be2,d5,exd5,Ng6,c4,c6,-1
c4,e5,d3,d6,Nf3,Nf6,O-O,Na6,Nc3,O-O,1
d4,Nf6,e4,d6,e5,dxe5,dxe5,Nd5,Nf3,O-O,1
Ng3,d5,c4,O-O,cxd5,Rxd5,O-O,Ng6,d4,c5,0
c4,Ng6,Ng3,O-O,d4,Nb6,b3,d5,Bb4,a5,1
Ngf3,d5,O-O,Ngf6,d4,Nd6,c3,c6,Nd3,O-O,0
e4,Ngf6,e5,Nd5,c4,Nb6,b3,f6,a4,a5,-1
Nc3,e6,Ng3,d5,e3,f5,Be2,c5,O-O-O,Nc6,1
e4,Nc6,d3,e6,Bd2,Ng6,Nc3,Bf6,Qe2,O-O-O,0
g3,d5,d4,g5,Nc3,e6,e3,f5,Qe2,Nc6,-1
d4,g6,g4,d5,g5,Nfd7,Bxd5,Nb6,Bf3,Qxd4,0
g3,g6,f4,f5,Nc3,d5,Nd3,d4,Na4,Bd5,1
Nc3,f5,f4,g6,d4,Nc6,d5,Nb4,g3,c6,-1
d4,d5,e3,e6,Nd2,Be7,Be2,f5,O-O-O,Nfg6,-1
f4,d5,Nfg3,e6,e3,Be7,Nf2,O-O-O,d4,Nhg6,1
d4,g5,g3,f5,Nb3,Nd6,Bb4,g4,Bxd6,exd6,1
g4,g6,f4,Nf6,Bf3,Nb6,g5,Nfd5,Nd3,c6,-1
g3,Nc6,d4,g5,Nb3,Nxd4,Nc3,c6,Nxd4,Bxd4,-1
g4,Nc6,f4,Nb6,Nc3,O-O-O,a4,d5,d3,a5,1
b3,b5,d3,Qa6,Nc3,f5,e4,b4,Na4,fxe4,1
b4,b6,Qa3,a6,e3,e6,d4,Be7,Nd3,a5,1
f3,c5,c3,f5,Nb3,b6,O-O-O,a5,Ng3,f4,-1
c4,f6,f4,c6,Nb3,Nb6,d3,Bf7,Ba5,Bc7,1
f4,b6,Bf2,c5,O-O,h6,d3,d5,e4,dxe4,1
e4,f5,exf5,Bd5,d3,O-O,c4,Bf7,b4,Ncd6,1
c4,c5,b3,b6,Nhg3,Nfg6,Ne3,e6,O-O-O,f5,1
f4,c5,f5,b6,b3,O-O-O,c4,e6,a4,exf5,1
b3,b6,d3,e6,e4,d5,exd5,exd5,Nf3,Bb4,-1
e4,b6,e5,g6,b3,Bg7,d4,O-O,Qa3,d6,-1
f3,c5,c3,f5,Ng3,f4,Ne4,d6,O-O-O,Ne6,1
c4,f6,f4,Ng6,Qf2,c6,f5,Ne5,Ne3,Nb6,-1
c4,b5,cxb5,Qxg2,Ng3,Nd6,f4,f6,Nd3,Nxb5,-1
f3,f6,Be3,c6,c3,Bxh2,g3,h5,Nb3,Bc4,-1
c4,c5,Ne3,e6,Nb3,Bd6,f3,Nc6,Bf2,f5,1
d4,d5,f4,c6,b3,Nd6,Ne3,f6,c4,Bf7,-1
